"Date","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2014-12-31,"New York","NY","New York","Queens",0,554100,0.00271444082519001,0.0155791788856305,0.0933307024467245,0.0353719200131744,0.0341898351010002,"2014-12","2014-Q4",554100,0,"2014-12"
2014-12-31,"Los Angeles","CA","Los Angeles","Los Angeles",1,529400,0.00703823473463953,0.0192529842125529,0.0784273782847831,0.049594822237202,0.00721025161206912,"2006-08","2006-Q3",602000,-0.120598006644518,"2005-06"
2014-12-31,"Chicago","IL","Chicago","Cook",2,185400,0,0.00596852957135106,-0.00429645542427497,-0.0247961579454464,-0.0163378577506444,"2006-12","2006-Q4",245000,-0.243265306122449,"2003-03"
2014-12-31,"Philadelphia","PA","Philadelphia","Philadelphia",3,118800,0.00848896434634975,0.0267934312878133,0.0909090909090909,0.000337040858495063,0.0295331794741058,"2007-09","2007-Q3",122800,-0.0325732899022801,"2006-11"
2014-12-31,"Phoenix","AZ","Phoenix","Maricopa",4,170800,0.00826446280991736,0.0245950809838032,0.0239808153477218,0.0461607018839256,0.00255305069092615,"2006-06","2006-Q2",246400,-0.306818181818182,"2005-02"
2014-12-31,"Las Vegas","NV","Las Vegas","Clark",5,179600,0.00785634118967452,0.0221969265793967,0.106592729513247,0.0587526558796192,-0.0398779611431236,"2006-07","2006-Q3",299700,-0.400734067400734,"2003-12"
2014-12-31,"San Diego","CA","San Diego","San Diego",6,494000,0.00672508661096393,0.017088737904056,0.0274542429284526,0.0420260475390037,-0.00648333847759874,"2005-10","2005-Q4",536200,-0.0787019768743006,"2004-07"
2014-12-31,"San Jose","CA","San Jose","Santa Clara",7,739000,0.00667483994006266,0.02170606940412,0.103808812546677,0.0764496704419213,0.0218415567583505,"2014-12","2014-Q4",739000,0,"2014-12"
2014-12-31,"Jacksonville","FL","Jacksonville","Duval",8,124400,0.00403551251008878,0.0130293159609121,0.0836236933797909,-0.0129833904256569,-0.010393201530691,"2006-11","2006-Q4",179200,-0.305803571428571,"2004-03"
2014-12-31,"San Francisco","CA","San Francisco","San Francisco",9,1000800,0.00815956482320943,0.025830258302583,0.121595875826516,0.0760566120148845,0.0349833636455508,"2014-12","2014-Q4",1000800,0,"2014-12"
2014-12-31,"Columbus","OH","Columbus","Franklin",10,103700,0.00387221684414327,0.0126953125,0.0443101711983887,-0.0108254651120885,-0.0128351684643834,"2006-04","2006-Q2",120900,-0.142266335814723,"2002-03"
2014-12-31,"Detroit","MI","Detroit","Wayne",11,40700,-0.00488997555012225,-0.0097323600973236,-0.00245098039215686,-0.036437996784596,-0.0628573677184527,"2005-12","2005-Q4",78800,-0.483502538071066,
2014-12-31,"Charlotte","NC","Charlotte","Mecklenburg",12,156400,0.0051413881748072,0.0162443144899285,0.0704996577686516,0.0124740077049219,0.0104196036872113,"2007-11","2007-Q4",161100,-0.0291744258224705,"2007-03"
2014-12-31,"Memphis","TN","Memphis","Shelby",13,66700,0.0015015015015015,0.0015015015015015,-0.00298953662182362,-0.0224003297235356,-0.0204396490269151,"2007-03","2007-Q1",89100,-0.251402918069585,"1998-08"
2014-12-31,"Baltimore","MD","Baltimore","Baltimore City",14,109300,0.00275229357798165,0.00367309458218549,0.0601357904946654,-0.020133391231026,0.0311845829089812,"2007-12","2007-Q4",130900,-0.165011459129106,"2006-02"
2014-12-31,"Boston","MA","Boston","Suffolk",15,447900,0.0094658553076403,0.0247083047357584,0.0669366364935684,0.0545718012543823,0.0184403121632792,"2014-12","2014-Q4",447900,0,"2014-12"
2014-12-31,"Seattle","WA","Seattle","King",16,475900,0.00869012293344638,0.0271962011655515,0.0735393638619445,0.0415249135601694,0.0302079950782015,"2014-12","2014-Q4",475900,0,"2014-12"
2014-12-31,"Washington","DC","Washington","District of Columbia",17,474000,0.0055154857870174,0.0154241645244216,0.0585082626172398,0.0624713946236839,0.0328765611026074,"2014-12","2014-Q4",474000,0,"2014-12"
2014-12-31,"Denver","CO","Denver","Denver",18,291700,0.0131990274400834,0.0410421127765882,0.131936360108653,0.0634126605042507,0.030691672723117,"2014-12","2014-Q4",291700,0,"2014-12"
2014-12-31,"Nashville","TN","Nashville","Davidson",19,169400,0.0065359477124183,0.0235649546827795,0.0914948453608247,0.0271007361039062,0.0242555494614376,"2014-12","2014-Q4",169400,0,"2014-12"
2014-12-31,"Milwaukee","WI","Milwaukee","Milwaukee",20,93500,0.00107066381156317,0.00862998921251348,-0.00319829424307036,-0.0408824753039558,-0.0282283479163987,"2006-05","2006-Q2",137400,-0.319505094614265,"2002-06"
2014-12-31,"Portland","OR","Portland","Multnomah",21,310500,0.00746268656716418,0.0230642504118616,0.0597269624573379,0.033214030293433,0.0367652561951359,"2014-12","2014-Q4",310500,0,"2014-12"
2014-12-31,"Oklahoma City","OK","Oklahoma City","Oklahoma",22,121000,0.004149377593361,0.0117056856187291,0.0422049956933678,0.0226137358324734,0.0245942535215236,"2014-12","2014-Q4",121000,0,"2014-12"
